date,price,강원_temp,강원_hum,경기_temp,경기_hum,경남_temp,경남_hum,경북_temp,경북_hum,광주_temp,광주_hum,대구_temp,대구_hum,대전_temp,대전_hum,부산_temp,부산_hum,서울_temp,서울_hum,세종_temp,세종_hum,울산_temp,울산_hum,충남_temp,충남_hum,충북_temp,충북_hum,전남_temp,전남_hum,전북_temp,전북_hum,제주_temp,제주_hum,인천_temp,인천_hum,전체_temp,전체_hum
2021-01-01,39209808,-5.292857143,50.66428571,-6.06,76.34,-1.25,63.61428571,-3.35,63.54285714,-0.6,83.1,-1.8,66.4,-4.6,88.8,0.3,51.8,-4.2,64,-5.5,86.8,-0.8,55.8,-5.016666667,91.46666667,-5.9,79.98,0.353846154,70.56153846,-3.04,82.05,4.85,60.9,-3.133333333,63.53333333,-2.751578947,68.30105263
2021-01-02,62239672,-4.907142857,37.08571429,-5.16,42.44,-0.285714286,55.5,-2.857142857,51.42142857,-0.3,67.8,-0.9,50.9,-3.5,67.5,1.3,41.4,-5,38.5,-4.5,64.8,-0.1,44.8,-4.383333333,70.25,-5.28,60.26,0.561538462,66.18461538,-2.34,69.52,5.65,60.825,-4.266666667,47.26666667,-2.215789474,55.44736842
2021-01-03,57365413,-5.642857143,39.12857143,-6.56,52.24,-0.55,42.98571429,-2.828571429,41.93571429,-0.6,54.6,-1.3,42.5,-4.1,63.8,0.1,31,-5.6,45,-4.6,59.1,-0.3,32.9,-4.8,67.98333333,-5.64,56.1,0.230769231,58.03076923,-3.18,65.72,4.4,63.375,-4.966666667,51.73333333,-2.722105263,50.9
2021-01-04,95785399,-3.735714286,47.2,-5.06,60.9,0.021428571,58.48571429,-2.114285714,51.23571429,1.2,71.8,-0.3,51.8,-2.8,67.6,3,40.9,-3.5,51.4,-3.4,60.9,0.8,47,-3.083333333,70.73333333,-4.34,61.54,1.7,67.53076923,-2,76.74,6,59.925,-3.233333333,58.93333333,-1.428421053,59.86
2021-01-05,37415973,-4.735714286,48.42142857,-5.48,53.32,0.485714286,52.11428571,-1.871428571,46.32142857,-0.2,64.9,-1.1,47.9,-2.8,61.1,3,38.6,-5.5,52.8,-3.7,55.1,0.8,44,-3.5,63.06666667,-3.98,54.1,0.923076923,64.52307692,-1.76,67.45,5.725,65.525,-5.6,55.8,-1.715789474,55.56526316
2021-01-06,44468170,-8.364285714,46.8,-8.28,59.92,-2.807142857,50.65714286,-5.635714286,47.62857143,-2.4,65.9,-4,47.6,-5.3,66.5,-1.7,37.6,-7.4,54.6,-6.3,64.6,-3.2,42.9,-5.866666667,69.88333333,-7.72,60.7,-1.853846154,68.65384615,-4.51,69.41,3.3,65.675,-6.833333333,59.66666667,-4.813684211,57.49052632
2021-01-07,39459368,-13.40714286,36.92857143,-14.46,50.36,-7.092857143,41.5,-10.27857143,39.67857143,-8.4,69.1,-8.7,40.3,-11.2,57.8,-6.1,33.8,-14.5,49.9,-12,52.8,-7.2,31.5,-11.5,64.38333333,-13.08,47.08,-7.115384615,68.02307692,-10.65,71.08,-1.775,78.25,-13.06666667,59.83333333,-10.01052632,52.10315789
2021-01-08,56869794,-14.46428571,36.98571429,-15.12,47.54,-8.921428571,46.26428571,-11.22142857,40.81428571,-9.9,55.8,-10.4,41.3,-13.5,57.8,-8.2,35,-14.9,44,-14.3,54,-8.7,35.5,-14,68.86666667,-14.26,49,-8.846153846,67.05384615,-13.94,70.49,-1.525,78.725,-12.83333333,55.46666667,-11.51894737,52.78
2021-01-09,72284738,-12.61428571,44.50714286,-13.44,54.96,-6.842857143,49.67142857,-9.357142857,45.61428571,-7.6,52.6,-8,45.1,-11.4,65.5,-5.9,38.6,-12.2,46.3,-12.5,61.8,-6.4,38.3,-12.56666667,69.41666667,-12.84,56.88,-6.230769231,66.44615385,-11.7,67.79,0.375,75.675,-10.53333333,59.16666667,-9.497894737,55.82
2021-01-10,49765511,-9.271428571,51.21428571,-10.26,64.68,-4.228571429,60.77142857,-6.492857143,49.26428571,-5.1,74.3,-4.7,51.4,-8,63.6,-2.3,45.4,-7.7,54.4,-9,59.8,-3.2,44.1,-8.8,66.61666667,-9.7,59,-3.315384615,73.68461538,-7.91,76.32,2.825,68.575,-7.1,64.06666667,-6.365263158,61.64421053
